STATE,ZipCode,Number of returns with total income,Total income amount,Avg total income,Count
NY,12136,430,44636,103.8046512,3
NY,12143,2460,128726,52.32764228,1
NY,12180,22980,1119835,48.73085292,9
NY,12188,5920,351482,59.37195946,1
NY,12202,4250,115912,27.27341176,2
NY,12204,3750,257200,68.58666667,2
NY,12207,670,20598,30.74328358,1
NY,12303,14860,873696,58.79515478,2
NY,12306,13490,713287,52.87524092,2
NY,12307,2800,57305,20.46607143,1
NY,12308,6200,255356,41.18645161,1
NY,12309,15110,1405321,93.0060225,2
NY,12401,15990,787456,49.24677924,2
NY,12404,1600,98615,61.634375,1
NY,12413,1350,57096,42.29333333,1
NY,12451,850,39580,46.56470588,1
NY,12458,1080,47595,44.06944444,2
NY,12496,690,39301,56.95797101,2
NY,12522,2230,120662,54.10852018,1
NY,12524,7620,550212,72.20629921,2
NY,12528,6520,403773,61.92837423,1
NY,12531,1540,133702,86.81948052,2
NY,12533,12180,1097912,90.14055829,4
NY,12534,7610,366464,48.15558476,1
NY,12538,6560,390691,59.55655488,3
NY,12540,3720,377405,101.452957,1
NY,12549,4990,352660,70.67334669,4
NY,12550,24860,1284949,51.68740949,17
NY,12553,12150,743093,61.1599177,5
NY,12564,3340,299233,89.59071856,1
NY,12586,6030,350477,58.12222222,7
NY,12589,6700,406937,60.73686567,5
NY,12590,17800,1193259,67.03702247,8
NY,12601,17230,813866,47.23540337,14
NY,12603,20870,1454320,69.6847149,5
NY,12701,4360,166262,38.13348624,1
NY,12721,2860,168413,58.88566434,1
NY,12752,140,7128,50.91428571,1
NY,12771,6090,297428,48.83875205,2
NY,12775,1270,92732,73.01732283,2
NY,12789,700,33283,47.54714286,1
NY,12790,2200,113049,51.38590909,4
NY,12804,13470,859554,63.81247216,2
NY,12866,18890,3185003,168.6078878,2
NY,13027,16320,1105453,67.73609069,1
NY,13032,5860,281724,48.07576792,1
NY,13045,11370,555612,48.86649077,4
NY,13068,2510,132582,52.82151394,1
NY,13202,1800,74718,41.51,1
NY,13357,4760,206184,43.31596639,1
NY,13363,1100,53275,48.43181818,1
NY,13421,6330,303028,47.87172196,4
NY,13501,14670,551868,37.61881391,1
NY,13502,14060,564368,40.13997155,1
NY,13601,16720,760730,45.49820574,3
NY,13637,2090,80389,38.46363636,3
NY,13642,3460,150986,43.63757225,1
NY,13731,510,32167,63.07254902,1
NY,13782,310,13116,42.30967742,2
NY,13783,1030,46131,44.78737864,1
NY,13790,8590,355575,41.39406286,2
NY,13815,6030,286426,47.50016584,2
NY,13856,2690,115317,42.86877323,2
NY,13903,8570,452801,52.83558926,1
NY,13905,11030,507154,45.97951043,2
NY,14001,4820,259683,53.87614108,1
NY,14031,4910,603065,122.8238289,1
NY,14043,12980,609609,46.96525424,1
NY,14131,2550,138855,54.45294118,2
NY,14207,9310,243711,26.1773362,1
NY,14210,6330,199340,31.49131122,1
NY,14216,11260,652967,57.98996448,2
NY,14220,11640,489639,42.06520619,1
NY,14221,27280,2440209,89.45047654,1
NY,14228,9180,553920,60.33986928,1
NY,14305,7330,267064,36.43437926,1
NY,14420,7610,408352,53.65992116,1
NY,14432,2640,128184,48.55454545,2
NY,14450,21470,1814112,84.49520261,7
NY,14467,4780,261475,54.70188285,1
NY,14482,4050,211805,52.29753086,2
NY,14532,2160,105712,48.94074074,1
NY,14612,17930,973635,54.30200781,1
NY,14747,990,38154,38.53939394,1
NY,14803,540,26182,48.48518519,2
NY,14847,1130,53423,47.27699115,1
NY,14850,22500,1634886,72.6616,5
NY,14882,1960,125690,64.12755102,2
NY,14901,5420,190619,35.1695572,3
NY,14903,3640,211982,58.23681319,1
